customer_id,age,annual_income,employment_years,home_ownership,loan_amount,term_months,interest_rate,dti,credit_score,num_open_accounts,delinquencies_2y,inquiries_6m,purpose,state,default
1,35,58461,9,RENT,11526,36,10.72,0.141,702,8,1,3,debt_consolidation,WI,0
2,72,41005,40,RENT,4442,60,8.34,0.109,726,2,0,0,car,MO,0
3,58,79539,33,OTHER,16114,36,9.87,0.261,701,10,1,1,small_business,FL,0
4,38,29726,11,RENT,6756,36,7.96,0.233,717,13,0,0,credit_card,GA,1
5,25,80165,4,OWN,17211,36,6.06,0.207,773,9,1,0,debt_consolidation,WI,0
6,63,52732,36,RENT,10017,36,9.86,0.219,655,5,1,1,credit_card,OH,1
7,41,45119,13,OWN,7122,36,8.96,0.213,716,7,0,1,home_improvement,IN,1
8,52,37900,20,OTHER,5379,60,8.15,0.233,686,13,0,2,small_business,IL,0
9,53,79948,9,RENT,4386,36,6.52,0.035,683,7,0,0,car,NJ,0
10,35,58782,9,OTHER,28186,36,10.29,0.53,686,9,2,1,credit_card,NY,1
11,39,40750,16,MORTGAGE,7311,36,6.25,0.183,672,8,0,0,other,MA,1
12,71,52669,29,OWN,9191,60,8.07,0.194,732,4,0,1,car,GA,1
13,62,29303,15,MORTGAGE,2822,36,5.42,0.127,673,7,0,2,home_improvement,VA,0
14,68,94389,12,MORTGAGE,18349,36,12.18,0.17,687,3,0,1,debt_consolidation,FL,0
15,25,99435,5,MORTGAGE,31006,60,10.51,0.296,678,6,1,1,credit_card,NJ,1
16,39,87834,7,OWN,24154,36,12.49,0.257,764,12,0,0,car,TX,0
17,22,57509,3,MORTGAGE,18476,60,12.13,0.208,703,0,0,0,car,MD,1
18,74,64302,14,OWN,16617,36,7.85,0.3,661,6,0,2,credit_card,PA,0
19,56,25158,17,MORTGAGE,3440,36,4.32,0.117,732,6,1,1,other,FL,1
20,31,41411,10,RENT,6337,36,8.94,0.149,664,15,0,3,credit_card,MD,0
21,65,44063,30,OWN,6003,60,7.48,0.122,675,12,0,1,home_improvement,TX,0
22,64,46615,10,MORTGAGE,5182,36,4.48,0.129,659,10,0,1,debt_consolidation,AZ,1
23,36,68407,5,RENT,26264,36,11.77,0.387,723,10,3,2,home_improvement,MD,1
